Date,tide,wind,atmosphericpressure,temperaturaair,temperaturaacqua,rainfall,radiation,humidity,waterlevel1hourago,water level,number,datetime
2023/1/1 00:00,0.21,1.4,1030.7,9.3,9.8,18.8,93.0,95.0,0.12,0.15,69190,2023-01-01 00:00:00
2023/1/1 01:00,0.28,1.1,1030.4,9.3,9.9,18.8,93.0,95.0,0.15,0.21,69191,2023-01-01 01:00:00
2023/1/1 02:00,0.37,1.6,1030.1,9.3,10.0,18.8,84.0,95.0,0.21,0.31,69192,2023-01-01 02:00:00
2023/1/1 03:00,0.46,2.6,1030.1,9.3,10.1,18.8,22.3,96.0,0.31,0.41,69193,2023-01-01 03:00:00
2023/1/1 04:00,0.55,2.4,1030.0,9.3,10.1,18.8,22.3,96.0,0.41,0.5,69194,2023-01-01 04:00:00
2023/1/1 05:00,0.58,1.6,1029.8,9.3,9.9,18.8,84.0,95.0,0.5,0.57,69195,2023-01-01 05:00:00
2023/1/1 06:00,0.6,1.8,1029.6,9.4,9.7,18.8,62.0,95.0,0.57,0.6,69196,2023-01-01 06:00:00
2023/1/1 07:00,0.55,1.9,1029.7,9.3,9.7,18.8,29.0,96.0,0.6,0.6,69197,2023-01-01 07:00:00
2023/1/1 08:00,0.43,2.4,1030.0,9.3,10.0,18.8,6.0,96.0,0.6,0.53,69198,2023-01-01 08:00:00
2023/1/1 09:00,0.3,1.5,1030.1,9.5,10.2,18.8,48.0,95.0,0.53,0.39,69199,2023-01-01 09:00:00
2023/1/1 10:00,0.19,0.8,1030.5,9.8,10.1,18.8,106.0,95.0,0.39,0.26,69200,2023-01-01 10:00:00
2023/1/1 11:00,0.04,1.1,1030.3,9.8,9.9,18.8,125.0,95.0,0.26,0.12,69201,2023-01-01 11:00:00
2023/1/1 12:00,-0.06,1.3,1030.0,9.8,9.9,18.8,175.0,94.0,0.12,0.0,69202,2023-01-01 12:00:00
2023/1/1 13:00,-0.09,1.3,1029.4,9.7,10.0,18.8,79.0,95.0,0.0,-0.09,69203,2023-01-01 13:00:00
2023/1/1 14:00,-0.08,1.4,1029.0,9.8,10.1,18.8,92.0,95.0,-0.09,-0.13,69204,2023-01-01 14:00:00
2023/1/1 15:00,-0.03,2.3,1029.0,9.7,10.1,18.8,50.0,95.0,-0.13,-0.1,69205,2023-01-01 15:00:00
2023/1/1 16:00,0.06,0.9,1029.3,9.7,10.0,18.8,12.0,95.0,-0.1,-0.03,69206,2023-01-01 16:00:00
2023/1/1 17:00,0.15,0.8,1029.4,9.8,10.0,18.8,61.0,95.0,-0.03,0.08,69207,2023-01-01 17:00:00
2023/1/1 18:00,0.21,0.4,1029.5,9.7,10.0,18.8,72.0,95.0,0.08,0.18,69208,2023-01-01 18:00:00
2023/1/1 19:00,0.26,0.8,1029.7,9.6,10.1,18.8,72.0,96.0,0.18,0.25,69209,2023-01-01 19:00:00
2023/1/1 20:00,0.27,2.2,1029.9,9.6,10.1,18.8,34.7,95.0,0.25,0.28,69210,2023-01-01 20:00:00
2023/1/1 21:00,0.26,2.0,1029.9,9.8,10.1,18.8,37.7,96.0,0.28,0.28,69211,2023-01-01 21:00:00
2023/1/1 22:00,0.25,2.1,1030.1,10.2,10.0,18.8,116.0,94.0,0.28,0.26,69212,2023-01-01 22:00:00
2023/1/1 23:00,0.2,1.2,1030.2,10.4,10.2,18.8,106.0,92.0,0.26,0.21,69213,2023-01-01 23:00:00
2023/1/2 00:00,0.2,1.7,1030.0,10.1,10.2,18.8,102.3,93.0,0.21,0.17,69214,2023-01-02 00:00:00
2023/1/2 01:00,0.22,1.9,1029.6,9.8,10.2,18.8,102.3,94.0,0.17,0.17,69215,2023-01-02 01:00:00
2023/1/2 02:00,0.28,0.8,1029.2,9.7,9.9,18.8,61.0,95.0,0.17,0.21,69216,2023-01-02 02:00:00
2023/1/2 03:00,0.37,1.1,1029.2,9.6,9.5,18.8,61.0,95.0,0.21,0.3,69217,2023-01-02 03:00:00
2023/1/2 04:00,0.46,2.3,1028.9,9.5,9.7,18.8,38.3,96.0,0.3,0.4,69218,2023-01-02 04:00:00
2023/1/2 05:00,0.52,2.9,1028.6,9.2,9.7,18.8,29.3,96.0,0.4,0.49,69219,2023-01-02 05:00:00
2023/1/2 06:00,0.55,3.3,1028.8,9.2,9.7,18.8,44.7,95.0,0.49,0.55,69220,2023-01-02 06:00:00
2023/1/2 07:00,0.54,3.6,1029.0,8.7,9.9,18.8,20.0,96.0,0.55,0.57,69221,2023-01-02 07:00:00
2023/1/2 08:00,0.49,2.8,1029.4,8.5,9.8,18.8,0.0,97.0,0.57,0.54,69222,2023-01-02 08:00:00
2023/1/2 09:00,0.37,1.9,1029.8,8.7,9.8,18.8,22.0,97.0,0.54,0.45,69223,2023-01-02 09:00:00
2023/1/2 10:00,0.22,2.2,1029.9,8.7,9.7,18.8,39.0,97.0,0.45,0.32,69224,2023-01-02 10:00:00
2023/1/2 11:00,0.09,2.6,1030.0,8.8,10.0,18.8,49.0,97.0,0.32,0.18,69225,2023-01-02 11:00:00
2023/1/2 12:00,-0.04,2.4,1029.3,8.7,10.1,18.8,59.0,96.0,0.18,0.03,69226,2023-01-02 12:00:00
2023/1/2 13:00,-0.15,2.5,1028.7,8.7,10.2,18.8,50.0,97.0,0.03,-0.09,69227,2023-01-02 13:00:00
2023/1/2 14:00,-0.18,2.6,1028.2,8.7,10.1,18.8,49.0,97.0,-0.09,-0.18,69228,2023-01-02 14:00:00
2023/1/2 15:00,-0.15,2.4,1028.0,8.5,10.1,18.8,33.0,97.0,-0.18,-0.21,69229,2023-01-02 15:00:00
2023/1/2 16:00,-0.07,1.5,1028.1,8.6,10.0,18.8,7.0,97.0,-0.21,-0.16,69230,2023-01-02 16:00:00
2023/1/2 17:00,0.05,1.3,1028.2,8.5,10.0,18.8,29.7,97.0,-0.16,-0.05,69231,2023-01-02 17:00:00
2023/1/2 18:00,0.19,1.6,1028.3,8.6,10.1,18.8,6.3,98.0,-0.05,0.1,69232,2023-01-02 18:00:00
2023/1/2 19:00,0.3,1.7,1028.4,8.7,10.1,18.8,6.3,98.0,0.1,0.23,69233,2023-01-02 19:00:00
2023/1/2 20:00,0.35,1.6,1028.4,8.8,10.4,18.8,10.0,98.0,0.23,0.32,69234,2023-01-02 20:00:00
2023/1/2 21:00,0.35,1.1,1028.4,9.0,10.3,18.8,27.7,98.0,0.32,0.37,69235,2023-01-02 21:00:00
2023/1/2 22:00,0.31,1.3,1028.3,8.9,10.3,18.8,27.7,98.0,0.37,0.35,69236,2023-01-02 22:00:00
2023/1/2 23:00,0.26,1.2,1028.2,8.9,10.3,18.8,27.7,98.0,0.35,0.29,69237,2023-01-02 23:00:00
2023/1/3 00:00,0.22,0.4,1028.2,9.0,10.4,18.8,27.7,98.0,0.29,0.22,69238,2023-01-03 00:00:00
2023/1/3 01:00,0.2,1.2,1028.3,9.2,10.3,18.8,27.7,98.0,0.22,0.17,69239,2023-01-03 01:00:00
2023/1/3 02:00,0.23,0.5,1028.2,9.3,10.3,18.8,27.7,98.0,0.17,0.17,69240,2023-01-03 02:00:00
2023/1/3 03:00,0.29,1.2,1028.1,9.3,10.3,18.8,27.7,98.0,0.17,0.22,69241,2023-01-03 03:00:00
2023/1/3 04:00,0.39,1.1,1027.8,9.4,10.4,18.8,27.7,98.0,0.22,0.31,69242,2023-01-03 04:00:00
2023/1/3 05:00,0.47,0.6,1027.8,9.4,10.4,18.8,27.7,98.0,0.31,0.41,69243,2023-01-03 05:00:00
2023/1/3 06:00,0.55,0.4,1027.9,9.5,10.2,18.8,27.7,98.0,0.41,0.5,69244,2023-01-03 06:00:00
2023/1/3 07:00,0.57,1.4,1028.0,9.5,10.2,18.8,27.7,99.0,0.5,0.56,69245,2023-01-03 07:00:00
2023/1/3 08:00,0.55,1.3,1028.2,9.5,10.3,18.8,2.0,98.0,0.56,0.58,69246,2023-01-03 08:00:00
2023/1/3 09:00,0.46,1.0,1028.6,9.6,10.4,18.8,10.0,98.0,0.58,0.53,69247,2023-01-03 09:00:00
2023/1/3 10:00,0.34,1.5,1029.1,9.7,10.3,18.8,18.0,98.0,0.53,0.42,69248,2023-01-03 10:00:00
2023/1/3 11:00,0.16,2.0,1028.9,9.8,10.4,18.8,101.0,98.0,0.42,0.27,69249,2023-01-03 11:00:00
