Date,tide,wind,atmosphericpressure,temperaturaair,temperaturaacqua,rainfall,radiation,humidity,waterlevel1hourago,waterlevel,number
2022/1/1 00:00,0.47,0.8,1023.4,3.6,8.8,0.0,0.0,100.0,0.59,0.52,60406
2022/1/1 01:00,0.39,0.7,1023.4,3.6,8.7,54.4,0.0,100.0,0.346666667,0.41,60431
2022/1/1 02:00,0.37,1.0,1023.4,3.6,8.8,54.4,0.0,100.0,0.41,0.33,60432
2022/1/1 03:00,0.41,1.2,1023.5,3.4,8.7,54.4,0.0,100.0,0.33,0.3,60433
2022/1/1 04:00,0.51,0.8,1023.1,3.5,8.6,54.4,0.0,100.0,0.3,0.35,60434
2022/1/1 05:00,0.63,1.5,1023.1,3.4,8.4,54.4,0.0,100.0,0.35,0.48,60435
2022/1/1 06:00,0.75,1.0,1023.3,3.5,8.4,54.4,0.0,100.0,0.48,0.61,60436
2022/1/1 07:00,0.82,0.5,1023.4,3.7,8.4,54.4,0.0,100.0,0.61,0.72,60437
2022/1/1 08:00,0.83,1.1,1023.9,3.7,8.3,54.4,4.0,100.0,0.72,0.8,60438
2022/1/1 09:00,0.73,0.6,1024.3,3.3,8.3,54.4,25.0,100.0,0.8,0.79,60439
2022/1/1 10:00,0.6,2.1,1024.8,3.2,8.2,54.4,56.0,100.0,0.79,0.71,60440
2022/1/1 11:00,0.34,2.9,1024.8,3.2,8.2,54.4,83.0,100.0,0.71,0.54,60441
2022/1/1 12:00,0.1,1.7,1024.6,2.9,8.0,54.4,83.0,100.0,0.54,0.32,60442
2022/1/1 13:00,-0.11,3.2,1024.4,2.9,8.1,54.4,86.0,100.0,0.32,0.1,60443
2022/1/1 19:00,0.22,1.3,1024.6,3.5,8.0,54.4,0.0,100.0,-0.2,0.01,60449
2022/1/1 20:00,0.43,1.1,1024.8,3.5,8.1,54.4,0.0,100.0,0.01,0.21,60450
2022/1/1 21:00,0.57,1.7,1025.0,3.5,8.1,54.4,0.0,100.0,0.21,0.39,60451
2022/1/1 22:00,0.65,2.0,1025.3,3.3,8.3,54.4,0.0,100.0,0.39,0.52,60452
2022/1/1 23:00,0.64,2.1,1025.4,3.0,8.2,54.4,0.0,100.0,0.52,0.61,60453
2022/1/2 00:00,0.56,2.0,1025.2,2.6,8.3,54.4,0.0,100.0,0.61,0.61,60454
2022/1/2 01:00,0.45,1.3,1025.5,2.5,8.4,54.4,0.0,100.0,0.61,0.52,60455
2022/1/2 02:00,0.34,2.6,1025.2,2.2,8.3,54.6,0.0,100.0,0.52,0.39,60456
2022/1/2 03:00,0.31,2.3,1025.3,2.0,8.3,54.6,0.0,100.0,0.39,0.28,60457
2022/1/2 04:00,0.34,0.7,1024.8,1.9,8.1,54.6,0.0,100.0,0.28,0.24,60458
2022/1/2 05:00,0.42,2.5,1024.6,2.2,8.4,54.6,0.0,100.0,0.24,0.29,60459
2022/1/2 06:00,0.56,2.4,1024.4,1.6,8.5,54.6,0.0,100.0,0.29,0.41,60460
2022/1/2 07:00,0.7,0.7,1023.9,1.8,8.5,54.6,0.0,100.0,0.41,0.55,60461
2022/1/2 08:00,0.79,1.2,1024.1,2.0,8.6,54.6,2.0,100.0,0.55,0.68,60462
2022/1/2 09:00,0.79,0.5,1024.3,2.3,8.6,54.6,13.0,100.0,0.68,0.76,60463
2022/1/2 10:00,0.71,0.4,1024.4,2.5,8.6,54.6,27.0,100.0,0.76,0.76,60464
2022/1/2 11:00,0.53,1.0,1024.0,2.7,8.5,54.6,44.0,100.0,0.76,0.66,60465
2022/1/2 12:00,0.31,1.7,1023.5,3.1,8.6,54.6,52.0,100.0,0.66,0.48,60466
2022/1/2 13:00,0.04,2.6,1022.8,3.3,8.3,54.6,42.0,100.0,0.48,0.27,60467
2022/1/2 14:00,-0.15,1.9,1022.3,3.4,8.2,54.6,45.0,100.0,0.27,0.05,60468
2022/1/2 20:00,0.4,1.9,1022.1,5.2,8.0,54.6,0.0,100.0,-0.07,0.16,60474
2022/1/2 21:00,0.57,1.0,1022.3,5.3,7.9,54.6,0.0,100.0,0.16,0.36,60475
2022/1/2 22:00,0.68,0.8,1022.0,5.6,7.9,54.6,0.0,100.0,0.36,0.52,60476
2022/1/2 23:00,0.71,0.3,1021.8,5.6,7.9,54.6,0.0,100.0,0.52,0.63,60477
2022/1/3 00:00,0.66,2.4,1021.6,5.4,7.9,54.6,0.0,100.0,0.63,0.67,60478
2022/1/3 01:00,0.55,1.1,1021.2,5.3,7.8,54.6,0.0,100.0,0.67,0.62,60479
2022/1/3 02:00,0.41,0.4,1020.9,5.4,7.8,54.6,0.0,100.0,0.62,0.5,60480
2022/1/3 03:00,0.31,1.2,1020.6,5.5,7.8,54.6,0.0,100.0,0.5,0.36,60481
2022/1/3 04:00,0.28,1.1,1020.0,5.6,7.9,54.6,0.0,100.0,0.36,0.26,60482
2022/1/3 05:00,0.3,1.4,1019.8,5.7,7.9,54.6,0.0,100.0,0.26,0.22,60483
2022/1/3 06:00,0.42,3.8,1019.3,5.2,8.0,54.6,0.0,100.0,0.22,0.26,60484
2022/1/3 07:00,0.55,2.1,1019.5,5.4,7.8,54.6,0.0,100.0,0.26,0.39,60485
2022/1/3 08:00,0.71,1.6,1019.2,5.1,8.0,54.6,2.0,100.0,0.39,0.54,60486
2022/1/3 09:00,0.77,1.3,1019.6,5.2,8.1,54.6,29.0,100.0,0.54,0.68,60487
2022/1/3 10:00,0.77,1.5,1019.3,5.4,8.2,54.6,78.0,100.0,0.68,0.75,60488
2022/1/3 11:00,0.7,1.9,1019.8,5.8,8.3,54.6,62.0,100.0,0.75,0.75,60489
2022/1/3 12:00,0.53,2.1,1019.3,5.8,8.4,54.6,69.0,100.0,0.75,0.65,60490
2022/1/3 13:00,0.26,1.4,1018.7,6.2,8.4,54.6,84.0,100.0,0.65,0.47,60491
2022/1/3 14:00,0.02,1.7,1018.1,6.3,8.3,54.6,66.0,100.0,0.47,0.25,60492
2022/1/3 15:00,-0.16,2.6,1017.7,6.3,8.4,54.6,60.0,100.0,0.25,0.03,60493
2022/1/3 20:00,0.26,1.7,1017.5,7.4,8.3,54.6,0.0,97.0,-0.18,0.04,60498
2022/1/3 21:00,0.44,1.9,1017.2,7.4,8.2,54.6,0.0,97.0,0.04,0.24,60499
2022/1/3 22:00,0.62,2.2,1016.6,7.3,8.2,54.6,0.0,98.0,0.24,0.42,60500
2022/1/3 23:00,0.7,1.4,1015.9,7.3,8.4,54.6,0.0,97.0,0.42,0.56,60501
2022/1/4 00:00,0.65,3.5,1015.5,7.4,8.3,54.6,0.0,96.0,0.56,0.64,60502
2022/1/4 01:00,0.59,1.7,1015.1,7.6,8.2,54.6,0.0,94.0,0.64,0.62,60503
2022/1/4 02:00,0.45,0.2,1014.5,7.6,8.3,54.6,0.0,94.0,0.62,0.54,60504
2022/1/4 03:00,0.33,0.9,1014.2,7.6,8.3,54.6,0.0,95.0,0.54,0.4,60505
2022/1/4 04:00,0.26,2.2,1013.2,7.3,8.2,54.6,0.0,98.0,0.4,0.27,60506
